Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/object_info_1,1891,153,5,4595,115.82,100.000%,299.68304,125.13,46.44,427.6
TOTAL,1891,153,5,4595,115.82,100.000%,299.68304,125.13,46.44,427.6
