Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/object_info_1,2564,310,1,980,136.51,100.000%,450.93211,255.40,64.78,580.0
TOTAL,2564,310,1,980,136.51,100.000%,450.93211,255.40,64.78,580.0
