Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/object_info_3,8172,318,0,2470,213.53,3.059%,400.62751,156.15,63.34,399.1
TOTAL,8172,318,0,2470,213.53,3.059%,400.62751,156.15,63.34,399.1
