Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/object_info_4,13466,955,4,28116,1828.54,3.728%,265.47591,74.84,41.68,288.7
TOTAL,13466,955,4,28116,1828.54,3.728%,265.47591,74.84,41.68,288.7
