Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/object_info_3,1075,139,7,1150,82.74,4.651%,197.35634,93.10,30.69,483.1
TOTAL,1075,139,7,1150,82.74,4.651%,197.35634,93.10,30.69,483.1
